"Sample","Sex","ID","MortYear","GMU","Location","Region"
"CluIDFG22G_0253_f1_21F7CT3GW","Female","21F7CT3GW",2021,"26","26","southwest"
"CluIDFG22G_0254_f1_21FJTBGQE","Female","21FJTBGQE",2021,"10A","10A",NA
"CluIDFG22G_0255_f1_21FMC7EGM","Female","21FMC7EGM",2021,"4","4","panhandle"
"CluIDFG22G_0256_f1_21FRT8KAN","Male","21FRT8KAN",2021,"34","34","southwest"
"CluIDFG22G_0257_f1_21G4XX4Y6","Female","21G4XX4Y6",2021,"4","4","panhandle"
"CluIDFG22G_0258_f1_21GAHTTY3","Male","21GAHTTY3",2021,"13","13","clearwater"
"CluIDFG22G_0259_f1_21GBADJTL","Female","21GBADJTL",2021,"17","17","clearwater"
"CluIDFG22G_0260_f1_21GJLNVPG","Female","21GJLNVPG",2021,"4","4","panhandle"
"CluIDFG22G_0261_f1_21GQCENQV","Female","21GQCENQV",2021,"39","39","southwest"
"CluIDFG22G_0262_f1_21GY7LHTA","Female","21GY7LHTA",2021,"26","26","southwest"
"CluIDFG22G_0263_f1_21H7YJVRD","Female","21H7YJVRD",2021,"21","21","salmon"
"CluIDFG22G_0264_f1_21H84U7HN","Male","21H84U7HN",2021,"28","28","salmon"
"CluIDFG22G_0265_f1_21HF7TXR3","Female","21HF7TXR3",2021,"19","19","clearwater"
"CluIDFG22G_0266_f1_21HLCMGPQ","Male","21HLCMGPQ",2021,"4","4","panhandle"
"CluIDFG22G_0267_f1_21HTTYDKT","Male","21HTTYDKT",2021,"4","4","panhandle"
"CluIDFG22G_0268_f1_21JGNJRJR","Male","21JGNJRJR",2021,"4","4","panhandle"
"CluIDFG22G_0269_f1_21JJHWDVV","Male","21JJHWDVV",2021,"30A","30A",NA
"CluIDFG22G_0270_f1_21JKGBP7T","Female","21JKGBP7T",2021,"10A","10A",NA
"CluIDFG22G_0271_f1_21JMUTJRE","Female","21JMUTJRE",2021,"6","6","panhandle"
"CluIDFG22G_0272_f1_21JV7KKBE","Male","21JV7KKBE",2021,"17","17","clearwater"
"CluIDFG22G_0273_f1_21JV8LUTG","Male","21JV8LUTG",2021,"4","4","panhandle"
"CluIDFG22G_0274_f1_21JWK7UFH","Female","21JWK7UFH",2021,"25","25","southwest"
"CluIDFG22G_0275_f1_21K8XY6HR","Male","21K8XY6HR",2021,"4","4","panhandle"
"CluIDFG22G_0276_f1_21KGPCVBY","Female","21KGPCVBY",2021,"6","6","panhandle"
"CluIDFG22G_0277_f1_21KNNU8GX","Male","21KNNU8GX",2021,"9","9","panhandle"
"CluIDFG22G_0278_f1_21KR4HHQH","Male","21KR4HHQH",2021,"6","6","panhandle"
"CluIDFG22G_0279_f1_21L3EYF4Y","Male","21L3EYF4Y",2021,"10","10","clearwater"
"CluIDFG22G_0280_f1_21L7YGB6D","Male","21L7YGB6D",2021,"10","10","clearwater"
"CluIDFG22G_0281_f1_21L8NDLWH","Male","21L8NDLWH",2021,"59A","59A",NA
"CluIDFG22G_0282_f1_21LDN6NWM","Male","21LDN6NWM",2021,"11","11","clearwater"
"CluIDFG22G_0283_initial_21LE6RBAQ","Male","21LE6RBAQ",2021,"21","21","salmon"
"CluIDFG22G_0284_initial_21LJPELNF","Male","21LJPELNF",2021,"39","39","southwest"
"CluIDFG22G_0285_initial_21LQCTXWG","Male","21LQCTXWG",2021,"4","4","panhandle"
"CluIDFG22G_0286_initial_21LTGMDJP","Male","21LTGMDJP",2021,"27","27","salmon"
"CluIDFG22G_0287_initial_21LYC3VG8","Female","21LYC3VG8",2021,"23","23","southwest"
"CluIDFG22G_0288_initial_21M3XMHRP","Female","21M3XMHRP",2021,"25","25","southwest"
"CluIDFG22G_0289_initial_21M4QFVXM","Male","21M4QFVXM",2021,"33","33","southwest"
"CluIDFG22G_0290_initial_21MCMXPHU","Male","21MCMXPHU",2021,"1","1","panhandle"
"CluIDFG22G_0291_initial_21MLMCNGQ","Female","21MLMCNGQ",2021,"7","7","panhandle"
"CluIDFG22G_0292_initial_21MNKLYXR","Male","21MNKLYXR",2021,"39","39","southwest"
"CluIDFG22G_0293_initial_21MYWH36K","Male","21MYWH36K",2021,"35","35","southwest"
"CluIDFG22G_0294_initial_21N7T4FFB","Male","21N7T4FFB",2021,"1","1","panhandle"
"CluIDFG22G_0295_initial_21NGU6NNM","Male","21NGU6NNM",2021,"39","39","southwest"
"CluIDFG22G_0296_initial_21NTCN7L7","Female","21NTCN7L7",2021,"24","24","southwest"
"CluIDFG22G_0297_initial_21NUKXT8Y","Female","21NUKXT8Y",2021,"12","12","clearwater"
"CluIDFG22G_0298_initial_21NW3NV7M","Male","21NW3NV7M",2021,"17","17","clearwater"
"CluIDFG22G_0299_initial_21NYQFNQA","Male","21NYQFNQA",2021,"4","4","panhandle"
"CluIDFG22G_0300_initial_21P7VWA6E","Male","21P7VWA6E",2021,"27","27","salmon"
"CluIDFG22G_0301_initial_21PQERC3G","Female","21PQERC3G",2021,"24","24","southwest"
"CluIDFG22G_0302_initial_21PVNJBYU","Male","21PVNJBYU",2021,"17","17","clearwater"
"CluIDFG22G_0303_initial_21PY3BUAX","Male","21PY3BUAX",2021,"10A","10A",NA
"CluIDFG22G_0304_initial_21QGY6Y36","Male","21QGY6Y36",2021,"1","1","panhandle"
"CluIDFG22G_0305_initial_21QNJHKW3","Male","21QNJHKW3",2021,"19","19","clearwater"
"CluIDFG22G_0306_initial_21QQLYY8C","Female","21QQLYY8C",2021,"10A","10A",NA
"CluIDFG22G_0307_initial_21QU8TELF","Female","21QU8TELF",2021,"1","1","panhandle"
"CluIDFG22G_0308_initial_21QUC7BEY","Female","21QUC7BEY",2021,"19A","19A",NA
"CluIDFG22G_0309_initial_21R6X4PBG","Male","21R6X4PBG",2021,"11A","11A",NA
"CluIDFG22G_0310_initial_21REGRPMY","Male","21REGRPMY",2021,"1","1","panhandle"
"CluIDFG22G_0311_initial_21RMT64NF","Female","21RMT64NF",2021,"4","4","panhandle"
"CluIDFG22G_0312_initial_21RNAYLMW","Female","21RNAYLMW",2021,"6","6","panhandle"
"CluIDFG22G_0313_initial_21RRENBYL","Female","21RRENBYL",2021,"4","4","panhandle"
"CluIDFG22G_0314_initial_21RVLRFCB","Male","21RVLRFCB",2021,"10","10","clearwater"
"CluIDFG22G_0315_initial_21RWB4C4L","Female","21RWB4C4L",2021,"34","34","southwest"
"CluIDFG22G_0316_initial_21TEE84C8","Female","21TEE84C8",2021,"6","6","panhandle"
"CluIDFG22G_0317_initial_21THQALWA","Female","21THQALWA",2021,"28","28","salmon"
"CluIDFG22G_0318_initial_21TNCDYVR","Female","21TNCDYVR",2021,"13","13","clearwater"
"CluIDFG22G_0319_initial_21TNEMVNR","Male","21TNEMVNR",2021,"19A","19A",NA
"CluIDFG22G_0320_initial_21TTAAWNM","Male","21TTAAWNM",2021,"16","16","clearwater"
"CluIDFG22G_0321_initial_21RBKKCQ6","Male","21RBKKCQ6",2021,"13","13","clearwater"
"CluIDFG22G_0322_initial_21U3PL3MU","Male","21U3PL3MU",2021,"28","28","salmon"
"CluIDFG22G_0323_initial_21U8EHMH7","Male","21U8EHMH7",2021,"27","27","salmon"
"CluIDFG22G_0324_initial_21UC6LWXU","Female","21UC6LWXU",2021,"16A","16A",NA
"CluIDFG22G_0325_initial_21UDPRVTG","Female","21UDPRVTG",2021,"34","34","southwest"
"CluIDFG22G_0326_initial_21UQPQMVM","Female","21UQPQMVM",2021,"33","33","southwest"
"CluIDFG22G_0327_initial_21V7PVAQL","Female","21V7PVAQL",2021,"9","9","panhandle"
"CluIDFG22G_0328_initial_21V7XHJLN","Male","21V7XHJLN",2021,"4","4","panhandle"
"CluIDFG22G_0329_initial_21VF3VYEF","Female","21VF3VYEF",2021,"4","4","panhandle"
"CluIDFG22G_0330_initial_21VFGVPMQ","Male","21VFGVPMQ",2021,"19","19","clearwater"
"CluIDFG22G_0331_initial_21VFH4F66","Female","21VFH4F66",2021,"1","1","panhandle"
"CluIDFG22G_0332_initial_21VJ8ER33","Male","21VJ8ER33",2021,"43","43","magic_valley"
"CluIDFG22G_0333_initial_21VNLTLJB","Male","21VNLTLJB",2021,"6","6","panhandle"
"CluIDFG22G_0334_initial_21VRPCJNX","Female","21VRPCJNX",2021,"39","39","southwest"
"CluIDFG22G_0335_initial_21VTP8N7F","Female","21VTP8N7F",2021,"28","28","salmon"
"CluIDFG22G_0336_initial_21WB4HCUN","Male","21WB4HCUN",2021,"33","33","southwest"
"CluIDFG22G_0337_initial_21WDGK7H6","Male","21WDGK7H6",2021,"7","7","panhandle"
"CluIDFG22G_0338_initial_21WQ7UTWU","Female","21WQ7UTWU",2021,"4","4","panhandle"
"CluIDFG22G_0339_initial_21WXW4MBM","Female","21WXW4MBM",2021,"10","10","clearwater"
"CluIDFG22G_0340_initial_21XB8QA3G","Female","21XB8QA3G",2021,"24","24","southwest"
"CluIDFG22G_0341_initial_21XLWJ6KM","Male","21XLWJ6KM",2021,"43","43","magic_valley"
"CluIDFG22G_0342_initial_21XKQPHHG","Female","21XKQPHHG",2021,"39","39","southwest"
"CluIDFG22G_0343_initial_21XPGJK4E","Female","21XPGJK4E",2021,"7","7","panhandle"
"CluIDFG22G_0344_initial_21XTHPCFW","Female","21XTHPCFW",2021,"4","4","panhandle"
"CluIDFG22G_0345_initial_21YC3J3MX","Female","21YC3J3MX",2021,"28","28","salmon"
"CluIDFG22G_0346_initial_21YPHAVQB","Female","21YPHAVQB",2021,"1","1","panhandle"
"CluIDFG22G_0347_initial_21YY7PNA4","Female","21YY7PNA4",2021,"6","6","panhandle"
"CluIDFG22G_0348_initial_223FVVB6U","Female","223FVVB6U",2022,"28","28","salmon"
"CluIDFG22G_0349_initial_223HUCPVB","Male","223HUCPVB",2022,"4","4","panhandle"
"CluIDFG22G_0350_initial_224GBLHPA","Female","224GBLHPA",2022,"12","12","clearwater"
"CluIDFG22G_0351_initial_226FEEJTC","Female","226FEEJTC",2022,"6","6","panhandle"
"CluIDFG22G_0352_initial_226WJBUUB","Male","226WJBUUB",2022,"10A","10A",NA
"CluIDFG22G_0353_initial_2273VL38Y","Female","2273VL38Y",2022,"4","4","panhandle"
"CluIDFG22G_0354_initial_2274DCJWL","Male","2274DCJWL",2022,"22","22","southwest"
"CluIDFG22G_0355_initial_227CDT38D","Male","227CDT38D",2022,"33","33","southwest"
"CluIDFG22G_0356_initial_227MTJFQ3","Female","227MTJFQ3",2022,"33","33","southwest"
"CluIDFG22G_0357_initial_227WA8QPF","Female","227WA8QPF",2022,"6","6","panhandle"
"CluIDFG22G_0358_initial_2288CRXYH","Female","2288CRXYH",2022,"1","1","panhandle"
"CluIDFG22G_0359_initial_228QE6YTA","Female","228QE6YTA",2022,"10A","10A",NA
"CluIDFG22G_0360_initial_228QM8NBQ","Male","228QM8NBQ",2022,"33","33","southwest"
"CluIDFG22G_0361_initial_228XR4GPK","Male","228XR4GPK",2022,"25","25","southwest"
"CluIDFG22G_0362_initial_22ACHRKL7","Female","22ACHRKL7",2022,"28","28","salmon"
"CluIDFG22G_0363_initial_22AU8UTX4","Female","22AU8UTX4",2022,"21","21","salmon"
"CluIDFG22G_0364_initial_22AUU7JJB","Female","22AUU7JJB",2022,"62","62","upper_snake"
"CluIDFG22G_0365_initial_22AYE887P","Male","22AYE887P",2022,"24","24","southwest"
"CluIDFG22G_0366_initial_22BBGAV36","Male","22BBGAV36",2022,"4","4","panhandle"
"CluIDFG22G_0367_initial_22BHL6LTA","Male","22BHL6LTA",2022,"50","50","upper_snake"
"CluIDFG22G_0368_initial_22BQLHPBP","Male","22BQLHPBP",2022,"33","33","southwest"
"CluIDFG22G_0369_initial_22CE3LKKY","Female","22CE3LKKY",2022,"6","6","panhandle"
"CluIDFG22G_0370_initial_22CNKCYB4","Male","22CNKCYB4",2022,"27","27","salmon"
"CluIDFG22G_0371_initial_22D68MRRE","Male","22D68MRRE",2022,"21","21","salmon"
"CluIDFG22G_0372_initial_22D7JRWJH","Female","22D7JRWJH",2022,"4","4","panhandle"
"CluIDFG22G_0373_initial_22DGUPLFW","Female","22DGUPLFW",2022,"6","6","panhandle"
"CluIDFG22G_0374_initial_22E4XWH4M","Female","22E4XWH4M",2022,"12","12","clearwater"
"CluIDFG22G_0375_initial_22EHKR76L","Male","22EHKR76L",2022,"58","58","upper_snake"
"CluIDFG22G_0376_initial_22EK6DTQW","Female","22EK6DTQW",2022,"4","4","panhandle"
"CluIDFG22G_0377_initial_22FKXHTFE","Female","22FKXHTFE",2022,"10A","10A",NA
"CluIDFG22G_0378_initial_22GFYWNBQ","Male","22GFYWNBQ",2022,"21","21","salmon"
"CluIDFG22G_0379_initial_22HNY3YYR","Male","22HNY3YYR",2022,"4","4","panhandle"
"CluIDFG22G_0380_initial_22HTTW6UW","Female","22HTTW6UW",2022,"19A","19A",NA
"CluIDFG22G_0381_initial_22JBNDN6L","Male","22JBNDN6L",2022,"43","43","magic_valley"
"CluIDFG22G_0382_initial_22JDCEJKD","Female","22JDCEJKD",2022,"1","1","panhandle"
"CluIDFG22G_0383_initial_22JHC3UXU","Male","22JHC3UXU",2022,"6","6","panhandle"
"CluIDFG22G_0384_initial_22JQPLRCA","Male","22JQPLRCA",2022,"19A","19A",NA
"CluIDFG22G_0385_initial_22JQVWD76","Female","22JQVWD76",2022,"19","19","clearwater"
"CluIDFG22G_0386_initial_22JRQ3QVA","Male","22JRQ3QVA",2022,"28","28","salmon"
"CluIDFG22G_0387_initial_22JUCDBHE","Male","22JUCDBHE",2022,"33","33","southwest"
"CluIDFG22G_0388_initial_22JWKWAF6","Male","22JWKWAF6",2022,"6","6","panhandle"
"CluIDFG22G_0389_initial_22KGFYWWQ","Female","22KGFYWWQ",2022,"20A","20A",NA
"CluIDFG22G_0390_initial_22KQFANFN","Female","22KQFANFN",2022,"24","24","southwest"
"CluIDFG22G_0391_initial_22LDPT7TV","Male","22LDPT7TV",2022,"4","4","panhandle"
"CluIDFG22G_0392_initial_22LQAHHDN","Female","22LQAHHDN",2022,"62","62","upper_snake"
"CluIDFG22G_0393_initial_22LR4LLC6","Male","22LR4LLC6",2022,"6","6","panhandle"
"CluIDFG22G_0394_initial_22N7GTYD3","Female","22N7GTYD3",2022,"1","1","panhandle"
"CluIDFG22G_0395_initial_22NEY66NQ","Female","22NEY66NQ",2022,"4","4","panhandle"
"CluIDFG22G_0396_initial_22NTYCNJQ","Male","22NTYCNJQ",2022,"6","6","panhandle"
"CluIDFG22G_0397_initial_22PM7NFD7","Male","22PM7NFD7",2022,"28","28","salmon"
"CluIDFG22G_0398_initial_22PUEFUUT","Male","22PUEFUUT",2022,"28","28","salmon"
"CluIDFG22G_0399_initial_22PVUPUBY","Male","22PVUPUBY",2022,"3","3","panhandle"
"CluIDFG22G_0400_initial_22PWDVYYJ","Female","22PWDVYYJ",2022,"33","33","southwest"
"CluIDFG22G_0401_initial_22Q6QPP3N","Male","22Q6QPP3N",2022,"21","21","salmon"
"CluIDFG22G_0402_initial_22QJE8QUY","Female","22QJE8QUY",2022,"12","12","clearwater"
"CluIDFG22G_0403_initial_22QY6G3K7","Male","22QY6G3K7",2022,"20A","20A",NA
"CluIDFG22G_0404_initial_22R3MHNJR","Female","22R3MHNJR",2022,"4","4","panhandle"
"CluIDFG22G_0405_initial_22RHTGQCK","Male","22RHTGQCK",2022,"36A","36A",NA
"CluIDFG22G_0406_initial_22T8FQCBF","Male","22T8FQCBF",2022,"36B","36B",NA
"CluIDFG22G_0407_initial_22TML4D4P","Female","22TML4D4P",2022,"28","28","salmon"
"CluIDFG22G_0408_initial_22TUPGLL4","Female","22TUPGLL4",2022,"36A","36A",NA
"CluIDFG22G_0409_initial_22U7MDL47","Male","22U7MDL47",2022,"28","28","salmon"
"CluIDFG22G_0410_initial_22V3ATVXY","Male","22V3ATVXY",2022,"26","26","southwest"
"CluIDFG22G_0411_initial_22VHBEU6K","Male","22VHBEU6K",2022,"36A","36A",NA
"CluIDFG22G_0412_initial_22VKQC8L7","Female","22VKQC8L7",2022,"28","28","salmon"
"CluIDFG22G_0413_initial_22VXL6JL8","Male","22VXL6JL8",2022,"4","4","panhandle"
"CluIDFG22G_0414_initial_22WABA4EG","Female","22WABA4EG",2022,"6","6","panhandle"
"CluIDFG22G_0415_initial_22Y7TWNGV","Male","22Y7TWNGV",2022,"43","43","magic_valley"
"CluIDFG22G_0416_initial_22YC3NFUR","Female","22YC3NFUR",2022,"4","4","panhandle"
"CluIDFG22G_0417_initial_22YECMN84","Male","22YECMN84",2022,"6","6","panhandle"
"CluIDFG22G_0418_initial_22YKNYNW6","Female","22YKNYNW6",2022,"4","4","panhandle"
"CluIDFG22G_0419_initial_C168805","Female","C168805",2021,"1","1","panhandle"
"CluIDFG22G_0420_initial_214DREYUW","Unknown","214DREYUW",2021,"23","23","southwest"
"CluIDFG22G_0421_initial_21RNKL36N","Unknown","21RNKL36N",2021,"23","23","southwest"
"CluIDFG22G_0423_initial_21LTQMWAM","Unknown","21LTQMWAM",2021,"23","23","southwest"
"CluIDFG22G_0002","Female","C103955",2021,"62","62","upper_snake"
"CluIDFG22G_0003","Female","C104000",2021,"62","62","upper_snake"
"CluIDFG22G_0010","Male","C115253",2021,"60","60","upper_snake"
"CluIDFG22G_0026","Male","C127164",2021,"28","28","salmon"
"CluIDFG22G_0035","Male","C130358",2021,"48","48","magic_valley"
"CluIDFG22G_0041","Male","C135323",2021,"1","1","panhandle"
"CluIDFG22G_0059","Male","C143043",2021,"4","4","panhandle"
"CluIDFG22G_0070","Unknown","C144657",2021,"10","10","clearwater"
"CluIDFG22G_0103","Male","C167102",2021,"61","61","upper_snake"
"CluIDFG22G_0127","Female","C169008",2021,"6","6","panhandle"
"CluIDFG22G_0143","Female","C169806",2021,"12","12","clearwater"
"CluIDFG22G_0151","Male","C169901",2021,"15","15","clearwater"
"CluIDFG22G_0155","Male","C169907",2021,"15","15","clearwater"
"CluIDFG22G_0156","Female","C169909",2022,"14","14","clearwater"
"CluIDFG22G_0162","Female","C169915",2022,"14","14","clearwater"
"CluIDFG22G_0183","Female","C171603",2022,"28","28","salmon"
"CluIDFG22G_0191","Female","C171701",2021,"36","36","salmon"
"CluIDFG22G_0201","Female","C171837",2022,"21","21","salmon"
"CluIDFG22G_0221","Male","21747GGN3",2021,"7","7","panhandle"
"CluIDFG22G_0280","Male","21L7YGB6D",2021,"10","10","clearwater"
"CluIDFG22G_0290","Male","21MCMXPHU",2021,"1","1","panhandle"
"CluIDFG22G_0298","Male","21NW3NV7M",2021,"17","17","clearwater"
"CluIDFG22G_0322","Male","21U3PL3MU",2021,"28","28","salmon"
"CluIDFG22G_0334","Female","21VRPCJNX",2021,"39","39","southwest"
"CluIDFG22G_0370","Male","22CNKCYB4",2022,"27","27","salmon"
"CluIDFG22G_0033","Female","C130012",2021,"50","50","upper_snake"
"CluIDFG22G_0041","Male","C135323",2021,"1","1","panhandle"
"CluIDFG22G_0049","Female","C139780",2021,"58","58","upper_snake"
"CluIDFG22G_0057","Male","C142651",2021,"61","61","upper_snake"
"CluIDFG22G_0127","Female","C169008",2021,"6","6","panhandle"
"CluIDFG22G_0135","Male","C169701",2021,"15","15","clearwater"
"CluIDFG22G_0143","Female","C169806",2021,"12","12","clearwater"
"CluIDFG22G_0151","Male","C169901",2021,"15","15","clearwater"
"CluIDFG22G_0221","Male","21747GGN3",2021,"7","7","panhandle"
"CluIDFG22G_0229","Male","218UPADJG",2021,"10","10","clearwater"
"CluIDFG22G_0237","Female","21AYTCBK3",2021,"7","7","panhandle"
"CluIDFG22G_0245","Male","21DKLPAM4",2021,"6","6","panhandle"
"CluIDFG22G_0315","Female","21RWB4C4L",2021,"34","34","southwest"
"CluIDFG22G_0323","Male","21U8EHMH7",2021,"27","27","salmon"
"CluIDFG22G_0331","Female","21VFH4F66",2021,"1","1","panhandle"
"CluIDFG22G_0339","Female","21WXW4MBM",2021,"10","10","clearwater"
"CluIDFG22G_0409","Male","22U7MDL47",2022,"28","28","salmon"
"CluIDFG22G_0417","Male","22YECMN84",2022,"6","6","panhandle"
"CluIDFG22G_0423","Unknown","21LTQMWAM",2021,"23","23","southwest"
"CluIDFG23G_0001","M","C117692",2020,"29","29","salmon"
"CluIDFG23G_0002","Female","C140575",2020,"25","25","southwest"
"CluIDFG23G_0003","Female","C140574",2020,"25","25","southwest"
"CluIDFG23G_0004","Male","C142997",2020,"10A","10A",NA
"CluIDFG23G_0005","Male","C139778",2020,"28","28","salmon"
"CluIDFG23G_0006","Male","C138442",2020,"50","50","upper_snake"
"CluIDFG23G_0007","F","C081656",2020,"49","49","magic_valley"
"CluIDFG23G_0008","M","C143638",2020,"24","24","southwest"
"CluIDFG23G_0009","Male","C147615",2021,"20","20","clearwater"
"CluIDFG23G_0010","Female","C147037",2020,"1","1","panhandle"
"CluIDFG23G_0011","Male","C139851",2020,"17","17","clearwater"
"CluIDFG23G_0012","Female","C144638",2020,"10","10","clearwater"
"CluIDFG23G_0013","Male","C145981",2020,"36","36","salmon"
"CluIDFG23G_0014","Female","C147726",2021,"15","15","clearwater"
"CluIDFG23G_0015","Female","C144318",2021,"15","15","clearwater"
"CluIDFG23G_0016","Male","C168176",2022,"33","33","southwest"
"CluIDFG23G_0020","Male","22HKTMFHB",2022,"4","4","panhandle"
